GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CAPXR003IMPL,com.bbva.capx.lib.r003.impl,CAPXR003Abstract,0,19,0,0,0,8,0,5,0,5
CAPXR003IMPL,com.bbva.capx.lib.r003.impl,CAPXR003Impl,26,7,0,0,3,2,1,2,1,2
