GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CAPXR001IMPL,com.bbva.capx.lib.r001.impl,CAPXR001Abstract,0,19,0,0,0,8,0,5,0,5
CAPXR001IMPL,com.bbva.capx.lib.r001.impl,CAPXR001Impl,4,133,1,1,1,20,1,4,0,4
